"","cik","company.name","form.type","date.filed","url","file.path","file.name"
"4438","1024478","ROCKWELL AUTOMATION INC","10-K","2018-11-09","edgar/data/1024478/0001024478-18-000032.txt","Data/K10_1.txt","K10_1.txt"
"5946","1032220","MAXIMUS INC","10-K","2018-11-20","edgar/data/1032220/0001032220-18-000090.txt","Data/K10_2.txt","K10_2.txt"
"8905","1048695","F5 NETWORKS INC","10-K","2018-11-21","edgar/data/1048695/0001048695-18-000031.txt","Data/K10_3.txt","K10_3.txt"
"16319","1090872","AGILENT TECHNOLOGIES INC","10-K","2018-12-20","edgar/data/1090872/0001090872-18-000019.txt","Data/K10_4.txt","K10_4.txt"
"16406","109177","Spectrum Brands Holdings, Inc.","10-K","2018-11-23","edgar/data/109177/0000109177-18-000052.txt","Data/K10_5.txt","K10_5.txt"
"23648","1137411","ROCKWELL COLLINS INC","10-K","2018-11-26","edgar/data/1137411/0001137411-18-000111.txt","Data/K10_6.txt","K10_6.txt"
"41226","1260221","TransDigm Group INC","10-K","2018-11-09","edgar/data/1260221/0001260221-18-000070.txt","Data/K10_7.txt","K10_7.txt"
"58775","1385157","TE Connectivity Ltd.","10-K","2018-11-13","edgar/data/1385157/0001047469-18-007210.txt","Data/K10_8.txt","K10_8.txt"
"100262","1601046","Keysight Technologies, Inc.","10-K","2018-12-18","edgar/data/1601046/0001601046-18-000030.txt","Data/K10_9.txt","K10_9.txt"
"105102","1618921","Walgreens Boots Alliance, Inc.","10-K","2018-10-11","edgar/data/1618921/0001628280-18-012472.txt","Data/K10_10.txt","K10_10.txt"
"110953","1645590","Hewlett Packard Enterprise Co","10-K","2018-12-12","edgar/data/1645590/0001628280-18-015054.txt","Data/K10_11.txt","K10_11.txt"
"155644","203527","VARIAN MEDICAL SYSTEMS INC","10-K","2018-11-26","edgar/data/203527/0001628280-18-014588.txt","Data/K10_12.txt","K10_12.txt"
"157429","2969","AIR PRODUCTS & CHEMICALS INC /DE/","10-K","2018-11-20","edgar/data/2969/0000002969-18-000044.txt","Data/K10_13.txt","K10_13.txt"
"159426","315189","DEERE & CO","10-K","2018-12-17","edgar/data/315189/0001047469-18-007694.txt","Data/K10_14.txt","K10_14.txt"
"160081","32604","EMERSON ELECTRIC CO","10-K","2018-11-19","edgar/data/32604/0000032604-18-000044.txt","Data/K10_15.txt","K10_15.txt"
"162514","4127","SKYWORKS SOLUTIONS, INC.","10-K","2018-11-15","edgar/data/4127/0000004127-18-000046.txt","Data/K10_16.txt","K10_16.txt"
"162886","46619","HEICO CORP","10-K","2018-12-20","edgar/data/46619/0000046619-18-000117.txt","Data/K10_17.txt","K10_17.txt"
"163010","47217","HP INC","10-K","2018-12-13","edgar/data/47217/0000047217-18-000052.txt","Data/K10_18.txt","K10_18.txt"
"163126","48465","HORMEL FOODS CORP /DE/","10-K","2018-12-07","edgar/data/48465/0000048465-18-000046.txt","Data/K10_19.txt","K10_19.txt"
"164668","6281","ANALOG DEVICES INC","10-K","2018-11-27","edgar/data/6281/0000006281-18-000126.txt","Data/K10_20.txt","K10_20.txt"
"165425","6951","APPLIED MATERIALS INC /DE","10-K","2018-12-13","edgar/data/6951/0000006951-18-000041.txt","Data/K10_21.txt","K10_21.txt"
"167743","717954","UNIFIRST CORP","10-K","2018-10-22","edgar/data/717954/0001284084-18-000061.txt","Data/K10_22.txt","K10_22.txt"
"173129","775158","OSHKOSH CORP","10-K","2018-11-20","edgar/data/775158/0000775158-18-000147.txt","Data/K10_23.txt","K10_23.txt"
"173800","785956","J&J SNACK FOODS CORP","10-K","2018-11-28","edgar/data/785956/0001437749-18-021339.txt","Data/K10_24.txt","K10_24.txt"
"176897","812128","SANDERSON FARMS INC","10-K","2018-12-20","edgar/data/812128/0000812128-18-000013.txt","Data/K10_25.txt","K10_25.txt"
"179026","829224","STARBUCKS CORP","10-K","2018-11-16","edgar/data/829224/0000829224-18-000052.txt","Data/K10_26.txt","K10_26.txt"
"179932","831641","TETRA TECH INC","10-K","2018-11-16","edgar/data/831641/0000831641-18-000097.txt","Data/K10_27.txt","K10_27.txt"
"183714","866787","AUTOZONE INC","10-K","2018-10-24","edgar/data/866787/0001193125-18-306452.txt","Data/K10_28.txt","K10_28.txt"
"191099","898293","JABIL INC","10-K","2018-10-19","edgar/data/898293/0001193125-18-303041.txt","Data/K10_29.txt","K10_29.txt"
"191471","900075","COPART INC","10-K","2018-10-01","edgar/data/900075/0000900075-18-000048.txt","Data/K10_30.txt","K10_30.txt"
"196988","932628","AMERIGAS PARTNERS LP","10-K","2018-11-20","edgar/data/932628/0000932628-18-000022.txt","Data/K10_31.txt","K10_31.txt"
"200106","1000228","HENRY SCHEIN INC","10-K","2019-02-20","edgar/data/1000228/0001000228-19-000015.txt","Data/K10_32.txt","K10_32.txt"
"201192","1002910","AMEREN CORP","10-K","2019-02-26","edgar/data/1002910/0001002910-19-000094.txt","Data/K10_33.txt","K10_33.txt"
"203249","1012100","SEALED AIR CORP/DE","10-K","2019-02-19","edgar/data/1012100/0001628280-19-001538.txt","Data/K10_34.txt","K10_34.txt"
"203771","1013857","PEGASYSTEMS INC","10-K","2019-02-20","edgar/data/1013857/0001013857-19-000005.txt","Data/K10_35.txt","K10_35.txt"
"204177","1015780","E TRADE FINANCIAL CORP","10-K","2019-02-20","edgar/data/1015780/0001015780-19-000060.txt","Data/K10_36.txt","K10_36.txt"
