"date","month","weekend","holiday","prod_id","prod_function","prod_regime","prod_listprice","discount","stockout","sales"
2015-09-01,"9","N","N","25742","Other","ALOE",129000,0,0.991525423728814,0
2015-09-01,"9","N","N","41906","Moisturisers","VITA",179000,7.30767082079931,0.00763358778625954,39.6946564885496
2015-09-01,"9","N","N","30470","Moisturisers","VITA",129000,0,1,0
2015-09-01,"9","N","N","30503","Moisturisers","VITA",199000,7.06896551724138,0.00769230769230769,22.3076923076923
2015-09-01,"9","N","N","42924","Treatments","VITA",249000,0,0.024,0.8
2015-09-01,"9","N","N","42046","EyeCare","VITA",179000,0,0.00769230769230769,7.69230769230769
2015-09-01,"9","N","N","10834","Moisturisers","VITA",199000,3.33333333333333,0.00763358778625954,22.9007633587786
2015-09-01,"9","N","N","42137","Cleanser","VITA",119000,4.17506745817593,0.0151515151515152,82.5757575757576
2015-09-01,"9","N","N","42422","Moisturisers","VITA",199000,0,0.00793650793650794,7.93650793650794
2015-09-01,"9","N","N","42671","Cleanser","VITA",89000,2.5,0.0153846153846154,12.3076923076923
2015-09-01,"9","N","N","12269","Cleanser","VITA",129000,0,0.00763358778625954,22.1374045801527
2015-09-01,"9","N","N","12259","Toner","VITA",149000,0,0.00763358778625954,12.9770992366412
2015-09-01,"9","N","N","12247","Cleanser","VITA",169000,0,0.016260162601626,6.50406504065041
2015-09-01,"9","N","N","41999","Cleanser","VITA",59000,0,1,0
2015-09-01,"9","N","N","10050","Other","VITA",229000,0,0.0078740157480315,5.51181102362205
2015-09-01,"9","N","N","42831","Cleanser","TEA",89000,0,0.188976377952756,16.5354330708661
2015-09-01,"9","N","N","22619","Moisturisers","ALOE",179000,0,0.00769230769230769,3.84615384615385
2015-09-01,"9","N","N","22607","Cleanser","ALOE",129000,0,0,12.5
2015-09-01,"9","N","N","22615","Cleanser","ALOE",129000,0.394736842105263,0.0151515151515152,28.7878787878788
2015-09-01,"9","N","N","22635","Toner","ALOE",149000,8.33333333333333,0,9.52380952380952
2015-09-01,"9","N","N","22611","Cleanser","ALOE",169000,0,0,2.45901639344262
2015-09-01,"9","N","N","22631","Moisturisers","ALOE",199000,0,0.0078740157480315,7.8740157480315
2015-09-01,"9","N","N","22627","Moisturisers","ALOE",199000,0,0.333333333333333,0.813008130081301
2015-09-01,"9","N","N","42326","Cleanser","OCEAN",129000,0,0.00763358778625954,18.3206106870229
2015-09-01,"9","N","N","13304","Toner","OCEAN",149000,5.55555555555556,0.00775193798449612,13.953488372093
2015-09-01,"9","N","N","42396","Toner","WHITE",219000,0,1,0
2015-09-01,"9","N","N","13278","Cleanser","OCEAN",119000,4.06162464985994,0.0151515151515152,50
2015-09-01,"9","N","N","13303","Cleanser","OCEAN",169000,0,0.0078125,6.25
2015-09-01,"9","N","N","13305","Moisturisers","OCEAN",179000,0,0.00775193798449612,20.9302325581395
2015-09-01,"9","N","N","24279","Moisturisers","WHITE",379000,6.81818181818182,0,16.9230769230769
2015-09-01,"9","N","N","13307","Moisturisers","OCEAN",199000,0,0.00775193798449612,8.52713178294574
2015-09-01,"9","N","N","24278","Moisturisers","WHITE",449000,10.5172413793103,0.00763358778625954,22.1374045801527
2015-09-01,"9","N","N","24282","Moisturisers","WHITE",399000,9.91326908821349,0,54.1984732824427
2015-09-01,"9","N","N","31484","Treatments","HERB",279000,0,0.0153846153846154,8.46153846153846
2015-09-01,"9","N","N","12670","Moisturisers","OCEAN",199000,0,0.094488188976378,11.8110236220472
2015-09-01,"9","N","N","13586","Cleanser","WHITE",199000,0,1,0
2015-09-01,"9","N","N","36244","Cleanser","WHITE",239000,5.36709407477392,0.0150375939849624,46.6165413533835
2015-09-01,"9","N","N","13235","Treatments","ALOE",249000,0,0.00813008130081301,1.6260162601626
2015-09-01,"9","N","N","13236","Treatments","ALOE",249000,0,0.00833333333333333,0
2015-09-01,"9","N","N","10594","Treatments","VITA",249000,0,0.0155038759689922,6.97674418604651
2015-09-01,"9","N","N","16006","Treatments","OCEAN",249000,0,0.016,1.6
2015-09-01,"9","N","N","16007","Treatments","OCEAN",249000,0,0.00819672131147541,4.91803278688525
2015-09-01,"9","N","N","20459","EyeCare","ALOE",179000,0,0.0168067226890756,0.840336134453782
2015-09-01,"9","N","N","18337","Moisturisers","VITA",199000,18.1818181818182,0.015625,8.59375
2015-09-01,"9","N","N","2889","Cleanser","TEA",109000,7.15717146918206,0.0151515151515152,107.575757575758
2015-09-01,"9","N","N","42491","Cleanser","TEA",139000,1.02774922918808,0.0151515151515152,26.5151515151515
2015-09-01,"9","N","N","2893","Toner","TEA",139000,0.932203389830509,0.00763358778625954,45.0381679389313
2015-09-01,"9","N","N","13536","Moisturisers","TEA",159000,0.277777777777778,0.0232558139534884,41.8604651162791
2015-09-01,"9","N","N","13709","Moisturisers","TEA",179000,3.44827586206897,0.302325581395349,22.4806201550388
2015-09-01,"9","N","N","7288","Treatments","TEA",219000,4,0.360655737704918,4.0983606557377
2015-09-01,"9","N","N","42529","Other","TEA",119000,0,0.015625,14.0625
2015-09-01,"9","N","N","41965","Treatments","TEA",129000,0,0.00763358778625954,5.34351145038168
2015-09-01,"9","N","N","27850","Treatments","TEA",119000,0,0.0229007633587786,104.580152671756
2015-09-01,"9","N","N","76019","Treatments","TEA",129000,0,0.00806451612903226,10.4838709677419
2015-09-01,"9","N","N","31467","EyeCare","HERB",289000,3,0.0078125,3.90625
2015-09-01,"9","N","N","42013","Cleanser","HERB",219000,0,0.0151515151515152,53.030303030303
2015-09-01,"9","N","N","65109","Treatments","HERB",359000,0,0.00775193798449612,7.75193798449612
2015-09-01,"9","N","N","31486","Treatments","HERB",439000,0,0.008,0
2015-09-01,"9","N","N","31468","Treatments","HERB",439000,3,0.0155038759689922,7.75193798449612
2015-09-01,"9","N","N","33448","Cleanser","POME",209000,0,0.0151515151515152,15.9090909090909
2015-09-01,"9","N","N","33446","Cleanser","POME",219000,0,0,4.0650406504065
2015-09-01,"9","N","N","33449","Moisturisers","POME",329000,3.21428571428571,0.00769230769230769,10.7692307692308
2015-09-01,"9","N","N","33450","Moisturisers","POME",349000,4.09090909090909,0.00769230769230769,8.46153846153846
2015-09-01,"9","N","N","33452","EyeCare","POME",299000,0,0,3.93700787401575
2015-09-01,"9","N","N","31471","Moisturisers","HERB",319000,1.2,0.0153846153846154,19.2307692307692
2015-09-01,"9","N","N","41195","Treatments","TEA",219000,15,0.015625,6.25
2015-09-01,"9","N","N","38834","Treatments","YOUTH",489000,18.4375,0.00757575757575758,36.3636363636364
